node id,query k,community number,running time(ms)
1723,3,1,1530.7
node id,query k,community number,running time(ms)
1723,4,1,2203.08
node id,query k,community number,running time(ms)
1800,6,1,1287.46node id,query k,community number,running time(ms)
114,9,1,1188.94
node id,query k,community number,running time(ms)
114,10,1,1029.2
node id,query k,community number,running time(ms)
114,10,1,1038.64
node id,query k,community number,running time(ms)
495623,8,1,1080.14
node id,query k,community number,running time(ms)
495623,8,1,1036.72
node id,query k,community number,running time(ms)
114,10,1,1174.94
